label,text
0,"Mình rất thất vọng với Surface, sạc quá tệ, hay bị chậm vãi."
0,Pin thật sự chán
0,Chụp đêm xấu như nhau... Cái cảm biến bé như hạt gạo thì so sánh làm gì cho mất công Mà tinh tế chơi thiết bị hay chơi lỹ thuật chụp ảnh thế ?
0,Pin hơi kém
1,"Em đồng ý với bác luôn đó, thời này samsung nó ăn đứt các hãng khác luôn rồi à, từ thiết kế đến tiện ích tính năng"
0,bật HDR lên sao nhìn nó cứ lóa lên ấy nhỉ
1,"Không có gì để chê ở món kem này, quá đặc sắc."
1,"Apple Watch thiết kế nhanh, pin mượt."
0,Giá đó mua 6plus ngon hơn.có những đứa bị điên mới mua 5SE
1,"Mình rất thích gà rán ở đây, quán phục vụ chuẩn vị, đồ ăn hấp dẫn."
1,Với tầm giá này thì Nokia là tốt nhất rồi.
1,Màn hình này hoàn toàn đẹp
1,"Món trà sữa ngon hết sẩy, gia vị thơm."
0,"Gia vị món phở quá nhạt, ăn không vô."
0,"Mình rất thất vọng với Samsung, sạc chán, hay bị chậm vãi."
1,"Món phở vị đặc sắc, không gian làm rất vừa vị."
0,Màn hình khá chậm
0,"Gia vị món phở quá quá tệ, ăn không vô."
1,"Mình rất hài lòng với Huawei, chip mạnh, không nóng máy."
0,Mới ăn thử bánh xèo ở đây mà thấy ôi cực kỳ.
0,Mua HP về dùng thử mà thấy lỗi quá.
1,"Không có gì để chê ở món mì xào này, quá ngon."
1,"Surfacebook đẹp quá, phải gom lúa mua ngay con macbook mới được"
0,"Không thể chấp nhận được món cà phê này, quá nhạt."
0,"Acer thiết kế chậm, màn hình thì quá cùi."
1,"Mua Sony cho bố dùng, bố khen sắc nét."
0,"Con Acer này dùng kém, pin mất sóng."
1,"Không có gì để chê ở Nokia, quá nhanh."
0,Với tầm giá này mà LG quá chán vậy là không đáng tiền.
1,"Con Macbook này dùng phù hợp, pin không bị lag."
0,"Con Lenovo này dùng chán, pin giật lag."
1,"Mình rất thích bún bò ở đây, quán phục vụ tuyệt vời, đồ ăn chất lượng."
1,Quán này mì quảng là chuẩn vị nhất rồi.
0,"Không thể chấp nhận được món cơm tấm này, quá chua."
0,Camera ít mượt mà
0,Máy ít xuất sắc
1,"Realme thiết kế sang trọng, loa không bị lag."
1,"Dẫn đồng nghiệp đi ăn hải sản, em trai khen vừa vị."
0,"Asus thiết kế nóng, màn hình thì hết pin nhanh."
0,"Có ai đó cảnh báo Blackberry không nên gia công hàng trung quốc để mất thương hiệu không vậy, ai, ai làm việc đó đi nào, xem như làm việc thiện"
0,"HP đơ quá, xài một thời gian là thấy quá cùi."
0,Thiết kế chả đẹp
1,"Mình rất thích hải sản ở đây, quán phục vụ chất lượng, đồ ăn cuốn hút."
0,"Huawei thiết kế đơ, bộ nhớ thì hay bị lỗi."
1,Với tầm giá này thì AirPods là bền nhất rồi.
1,"Con Vivo này dùng đẳng cấp, pin vô đối."
0,"Gia vị món kem quá quá kém, ăn không vô."
0,"Con Surface này dùng nóng, pin quá chán."
0,Mạng thật sự dở
1,Con này tương thích với QC 2.0 mua về cho còn Zen2 xài ngon
0,"Surface thiết kế quá tệ, cảm ứng thì hết pin nhanh."
1,Điện thoại này quá êm
0,"Món cơm tấm vị dở, không đáng tiền tí nào."
1,"Mua iPhone cho mẹ dùng, đồng nghiệp khen nhanh."
1,Bức hình nào là nhỏ xíu. Và 950 chưa bjo là cái đt có camera cùi.
1,"Mua Lenovo cho bố dùng, con khen ấn tượng."
0,"Samsung bình thường quá, xài vài tháng là thấy nóng máy."
0,Mua Sony về dùng thử mà thấy mờ quá.
0,"Con Acer này dùng chậm, pin loạn cảm ứng."
0,Chắc lại ế như S6 thôi!?!
1,"Nokia nhẹ quá, xài cả năm rồi vẫn phê lắm."
1,"EM thấy dùng khá ổn đấy chứ hiệu năng tốt, máy mượt. pin tốt. mọi ng đừng quá quan tâm tới dung lượng pin, cách tối ưu pin mới là vấn đề thích xa mà chưa có tiền"
1,"Món cà phê ở quán này giòn cực kỳ, ăn suốt mấy tháng vẫn ghiền."
0,Mới mua con Xiaomi này về mà thấy kém cực kỳ.
0,Mới ăn thử gà rán ở đây mà thấy tanh cực kỳ.
0,Mới mua con Dell này về mà thấy quá kém cực kỳ.
0,"Con Lenovo này dùng lỗi, pin lag lòi."
1,"Dell hoàn hảo quá, xài vài hôm rồi vẫn hoạt động tốt."
1,"Con Huawei này dùng tốt, pin tốt."
0,Điện thoại chưa mát
1,"Không có gì để chê ở món bún chả này, quá ngon tuyệt."
0,Với tầm giá này mà AirPods chán vậy là không đáng tiền.
0,"Mình cũng là Fansam và iFan , rất thích 2 hãng vì máy tốt và đẹp , nhưng thừa nhận hôm nay samsung cũng đã đạt tới mức tận cùng thiết kế , mọi ý tưởng bây giờ xoay vòng , Note7 giống note5 , s6 ,s7 , chẳng có sự đột phá gì mới"
0,Sản phẩm hơi lag
1,"Apple Watch ngon lành quá, xài mấy ngày rồi vẫn đẹp."
1,"Món pizza vị ngon miệng, gia vị làm rất béo."
0,Mạng hơi chán
0,"Món cơm tấm ở quán này khô quá, ăn một tháng là thấy quá tệ."
1,"Mình rất hài lòng với Acer, sạc đẳng cấp, tốt."
0,"Món phở vị chán, không đáng tiền tí nào."
1,"Không có gì để chê ở món lẩu này, quá tuyệt vời."
1,"Mua Nokia cho con dùng, em gái khen đẳng cấp."
